m       s*     sc     sb    
65373   3.949  2.731  2.731  
65374   2.967  2.731  2.731  
65375   3.213  2.731  2.731  
65376   3.23   2.731  2.731  
65377   3.214  2.731  2.731  
65378   3.515  2.731  2.731  
65379   2.947  2.731  2.731  
65380   3.542  2.731  2.731  
65381   3.197  2.731  2.731  
65382   3.213  2.731  2.731  
65383   4.02   2.731  2.731  
65384   3.515  2.731  2.731  
65385   3.336  2.731  2.731  
65386   3.23   2.731  2.731  
65387   3.655  2.731  2.731  
65388   3.358  2.731  2.731  
65389   3.2    2.731  2.731  
65390   2.947  2.731  2.731  
65391   3.503  2.731  2.731  
65392   3.497  2.731  2.731  
65393   3.655  2.731  2.731  
65394   3.949  2.731  2.731  
65395   3.214  2.731  2.731  
65396   3.026  2.731  2.731  
65397   3.379  2.731  2.731  
65398   2.967  2.731  2.731  
65399   3.061  2.731  2.731  
65400   3.542  2.731  2.731  
65401   3.542  2.731  2.731  
65402   3.336  2.731  2.731  
65403   3.214  2.731  2.731  
65404   2.967  2.731  2.731  
65405   3.026  2.731  2.731  
65406   3.197  2.731  2.731  
65407   3.358  2.731  2.731  
65408   3.503  2.731  2.731  
65409   3.655  2.731  2.731  
65410   2.947  2.731  2.731  
65411   3.515  2.731  2.731  
65412   3.213  2.731  2.731  
65413   4.02   2.731  2.731  
65414   3.379  2.731  2.731  
65415   3.497  2.731  2.731  
65416   3.23   2.731  2.731  
65417   3.061  2.731  2.731  
65418   3.949  2.731  2.731  
65419   3.2    2.731  2.731  
65420   3.655  2.731  2.731  
65421   2.947  2.731  2.731  
65422   3.061  2.731  2.731  
65423   3.542  2.731  2.731  
65424   3.336  2.731  2.731  
65425   3.197  2.731  2.731  
65426   3.026  2.731  2.731  
65427   4.02   2.731  2.731  
65428   3.2    2.731  2.731  
65429   3.379  2.731  2.731  
65430   3.23   2.731  2.731  
65431   3.503  2.731  2.731  
65432   3.214  2.731  2.731  
65433   3.515  2.731  2.731  
65434   3.655  2.731  2.731  
65435   3.358  2.731  2.731  
65436   3.655  2.731  2.731  
65437   3.213  2.731  2.731  
65438   2.967  2.731  2.731  
65439   3.949  2.731  2.731  
65440   3.497  2.731  2.731  
65441   2.967  2.731  2.731  
65442   3.497  2.731  2.731  
65443   3.23   2.731  2.731  
65444   2.947  2.731  2.731  
65445   3.2    2.731  2.731  
65446   3.358  2.731  2.731  
65447   3.515  2.731  2.731  
65448   3.214  2.731  2.731  
65449   3.655  2.731  2.731  
65450   3.379  2.731  2.731  
65451   3.213  2.731  2.731  
65452   3.949  2.731  2.731  
65453   3.061  2.731  2.731  
65454   3.026  2.731  2.731  
65455   3.503  2.731  2.731  
65456   4.02   2.731  2.731  
65457   3.197  2.731  2.731  
65458   3.336  2.731  2.731  
65459   3.542  2.731  2.731  
65460   3.655  2.731  2.731  
65461   3.655  2.731  2.731  
65462   3.026  2.731  2.731  
65463   3.214  2.731  2.731  
65464   2.967  2.731  2.731  
65465   3.197  2.731  2.731  
65466   4.02   2.731  2.731  
65467   3.358  2.731  2.731  
65468   3.061  2.731  2.731  
65469   3.379  2.731  2.731  
65470   3.542  2.731  2.731  
65471   3.336  2.731  2.731  
65472   3.949  2.731  2.731  
65473   3.213  2.731  2.731  
65474   3.503  2.731  2.731  
65475   3.2    2.731  2.731  
65476   3.655  2.731  2.731  
65477   3.497  2.731  2.731  
65478   2.947  2.731  2.731  
65479   3.23   2.731  2.731  
65480   3.515  2.731  2.731  
65481   3.379  2.731  2.731  
65482   3.655  2.731  2.731  
65483   4.02   2.731  2.731  
65484   3.197  2.731  2.731  
65485   3.2    2.731  2.731  
65486   3.061  2.731  2.731  
65487   3.515  2.731  2.731  
65488   2.947  2.731  2.731  
65489   3.026  2.731  2.731  
65490   3.949  2.731  2.731  
65491   3.655  2.731  2.731  
65492   2.967  2.731  2.731  
65493   3.503  2.731  2.731  
65494   3.336  2.731  2.731  
65495   3.213  2.731  2.731  
65496   3.497  2.731  2.731  
65497   3.542  2.731  2.731  
65498   3.214  2.731  2.731  
65499   3.23   2.731  2.731  
65500   3.358  2.731  2.731  
65501   3.655  2.731  2.731  
65502   2.967  2.731  2.731  
65503   3.061  2.731  2.731  
65504   3.503  2.731  2.731  
65505   3.497  2.731  2.731  
65506   3.358  2.731  2.731  
65507   3.379  2.731  2.731  
65508   3.2    2.731  2.731  
65509   3.026  2.731  2.731  
65510   3.213  2.731  2.731  
65511   3.197  2.731  2.731  
65512   4.02   2.731  2.731  
65513   3.949  2.731  2.731  
65514   3.23   2.731  2.731  
65515   3.214  2.731  2.731  
65516   3.515  2.731  2.731  
65517   3.336  2.731  2.731  
65518   3.542  2.731  2.731  
65519   3.655  2.731  2.731  
65520   2.947  2.731  2.731  
65521   3.542  2.731  2.731  
65522   3.655  2.731  2.731  
65523   3.949  2.731  2.731  
65524   3.026  2.731  2.731  
65525   3.23   2.731  2.731  
65526   3.061  2.731  2.731  
65527   3.655  2.731  2.731  
65528   2.967  2.731  2.731  
65529   2.947  2.731  2.731  
65530   4.02   2.731  2.731  
65531   3.197  2.731  2.731  
65532   3.214  2.731  2.731  
65533   3.379  2.731  2.731  
65534   3.497  2.731  2.731  
65535   3.2    2.731  2.731  
65536   3.336  2.731  2.731  
65537   3.503  2.731  2.731  
65538   3.358  2.731  2.731  
65539   3.515  2.731  2.731  
65540   3.213  2.731  2.731  
65541   2.947  2.731  2.731  
65542   4.02   2.731  2.731  
65543   3.515  2.731  2.731  
65544   3.197  2.731  2.731  
65545   3.503  2.731  2.731  
65546   3.655  2.731  2.731  
65547   3.542  2.731  2.731  
65548   3.379  2.731  2.731  
65549   2.967  2.731  2.731  
65550   3.336  2.731  2.731  
65551   3.213  2.731  2.731  
65552   3.655  2.731  2.731  
65553   3.214  2.731  2.731  
65554   3.026  2.731  2.731  
65555   3.358  2.731  2.731  
65556   3.061  2.731  2.731  
65557   3.497  2.731  2.731  
65558   3.23   2.731  2.731  
65559   3.2    2.731  2.731  
65560   3.949  2.731  2.731  
65561   3.061  2.731  2.731  
65562   2.967  2.731  2.731  
65563   3.655  2.731  2.731  
65564   3.2    2.731  2.731  
65565   3.197  2.731  2.731  
65566   3.026  2.731  2.731  
65567   3.515  2.731  2.731  
65568   3.23   2.731  2.731  
65569   3.655  2.731  2.731  
65570   3.503  2.731  2.731  
65571   3.497  2.731  2.731  
65572   3.949  2.731  2.731  
65573   4.02   2.731  2.731  
65574   3.379  2.731  2.731  
65575   3.336  3.336  2.731  
65576   3.287  3.287  2.731  
65577   3.261  3.261  2.731  
65578   3.103  3.103  2.731  
65579   3.361  3.361  2.731  
65580   3.224  3.224  2.731  
65581   3.242  3.242  2.731  
65582   3.051  3.051  2.731  
65583   3.117  3.117  2.731  
65584   2.952  2.952  2.731  
65585   3.42   3.42   2.731  
